crop,crop_cycle_id,dataset,environment,measurement_method,plot_id,quality,source,source_type,timestamp,unit,value,variable,variety
lettuce,lettuce_001,biomass,GREENHOUSE,synthetic_model,plot_20500,VALID,SYNTHETIC_TEST,synthetic_test_data,2026-01-15T09:00:00+00:00,g/m2,105.852,biomass,
lettuce,lettuce_001,biomass,GREENHOUSE,synthetic_model,plot_20500,VALID,SYNTHETIC_TEST,synthetic_test_data,2026-01-22T09:00:00+00:00,g/m2,208.045,biomass,
lettuce,lettuce_001,biomass,GREENHOUSE,synthetic_model,plot_20500,VALID,SYNTHETIC_TEST,synthetic_test_data,2026-01-29T09:00:00+00:00,g/m2,302.258,biomass,
lettuce,lettuce_001,biomass,GREENHOUSE,synthetic_model,plot_20500,VALID,SYNTHETIC_TEST,synthetic_test_data,2026-02-05T09:00:00+00:00,g/m2,389.373,biomass,
peach,peach_plot_61200_2026,biomass,OUTDOOR,synthetic_model,plot_61200,VALID,SYNTHETIC_TEST,synthetic_test_data,2026-02-05T09:00:00+00:00,g/m2,39.863,biomass,
apple,apple_plot_72300_2026,biomass,OUTDOOR,synthetic_model,plot_72300,VALID,SYNTHETIC_TEST,synthetic_test_data,2026-02-05T09:00:00+00:00,g/m2,40.688,biomass,
lettuce,lettuce_001,biomass,GREENHOUSE,synthetic_model,plot_20500,VALID,SYNTHETIC_TEST,synthetic_test_data,2026-02-12T09:00:00+00:00,g/m2,467.329,biomass,
peach,peach_plot_61200_2026,biomass,OUTDOOR,synthetic_model,plot_61200,VALID,SYNTHETIC_TEST,synthetic_test_data,2026-02-12T09:00:00+00:00,g/m2,57.828,biomass,
apple,apple_plot_72300_2026,biomass,OUTDOOR,synthetic_model,plot_72300,VALID,SYNTHETIC_TEST,synthetic_test_data,2026-02-12T09:00:00+00:00,g/m2,57.677,biomass,
tomato,tomato_12010_2026,biomass,GREENHOUSE,synthetic_model,plot_12010,VALID,SYNTHETIC_TEST,synthetic_test_data,2026-02-19T09:00:00+00:00,g/m2,47.108,biomass,RAF
lettuce,lettuce_001,biomass,GREENHOUSE,synthetic_model,plot_20500,VALID,SYNTHETIC_TEST,synthetic_test_data,2026-02-19T09:00:00+00:00,g/m2,541.388,biomass,
peach,peach_plot_61200_2026,biomass,OUTDOOR,synthetic_model,plot_61200,VALID,SYNTHETIC_TEST,synthetic_test_data,2026-02-19T09:00:00+00:00,g/m2,77.017,biomass,
apple,apple_plot_72300_2026,biomass,OUTDOOR,synthetic_model,plot_72300,VALID,SYNTHETIC_TEST,synthetic_test_data,2026-02-19T09:00:00+00:00,g/m2,78.595,biomass,
tomato,tomato_12010_2026,biomass,GREENHOUSE,synthetic_model,plot_12010,VALID,SYNTHETIC_TEST,synthetic_test_data,2026-02-26T09:00:00+00:00,g/m2,77.068,biomass,RAF
peach,peach_plot_61200_2026,biomass,OUTDOOR,synthetic_model,plot_61200,VALID,SYNTHETIC_TEST,synthetic_test_data,2026-02-26T09:00:00+00:00,g/m2,94.056,biomass,
apple,apple_plot_72300_2026,biomass,OUTDOOR,synthetic_model,plot_72300,VALID,SYNTHETIC_TEST,synthetic_test_data,2026-02-26T09:00:00+00:00,g/m2,94.252,biomass,
tomato,tomato_12010_2026,biomass,GREENHOUSE,synthetic_model,plot_12010,VALID,SYNTHETIC_TEST,synthetic_test_data,2026-03-05T09:00:00+00:00,g/m2,102.651,biomass,RAF
pepper,pepper_40811_2026,biomass,OUTDOOR,synthetic_model,plot_40811,VALID,SYNTHETIC_TEST,synthetic_test_data,2026-03-05T09:00:00+00:00,g/m2,41.677,biomass,Lamuyo
grape,grape_30412_2026,biomass,OUTDOOR,synthetic_model,plot_30412,VALID,SYNTHETIC_TEST,synthetic_test_data,2026-03-05T09:00:00+00:00,g/m2,40.833,biomass,Monastrell
plum,plum_14705_2026,biomass,OUTDOOR,synthetic_model,plot_14705,VALID,SYNTHETIC_TEST,synthetic_test_data,2026-03-05T09:00:00+00:00,g/m2,41.484,biomass,Suplum 26
lettuce,lettuce_002,biomass,GREENHOUSE,synthetic_model,plot_20500,VALID,SYNTHETIC_TEST,synthetic_test_data,2026-03-05T09:00:00+00:00,g/m2,92.369,biomass,
peach,peach_plot_61200_2026,biomass,OUTDOOR,synthetic_model,plot_61200,VALID,SYNTHETIC_TEST,synthetic_test_data,2026-03-05T09:00:00+00:00,g/m2,115.267,biomass,
apple,apple_plot_72300_2026,biomass,OUTDOOR,synthetic_model,plot_72300,VALID,SYNTHETIC_TEST,synthetic_test_data,2026-03-05T09:00:00+00:00,g/m2,115.913,biomass,
tomato,tomato_12010_2026,biomass,GREENHOUSE,synthetic_model,plot_12010,VALID,SYNTHETIC_TEST,synthetic_test_data,2026-03-12T09:00:00+00:00,g/m2,132.133,biomass,RAF
pepper,pepper_40811_2026,biomass,OUTDOOR,synthetic_model,plot_40811,VALID,SYNTHETIC_TEST,synthetic_test_data,2026-03-12T09:00:00+00:00,g/m2,68.27,biomass,Lamuyo
grape,grape_30412_2026,biomass,OUTDOOR,synthetic_model,plot_30412,VALID,SYNTHETIC_TEST,synthetic_test_data,2026-03-12T09:00:00+00:00,g/m2,61.422,biomass,Monastrell
plum,plum_14705_2026,biomass,OUTDOOR,synthetic_model,plot_14705,VALID,SYNTHETIC_TEST,synthetic_test_data,2026-03-12T09:00:00+00:00,g/m2,61.058,biomass,Suplum 26
lettuce,lettuce_002,biomass,GREENHOUSE,synthetic_model,plot_20500,VALID,SYNTHETIC_TEST,synthetic_test_data,2026-03-12T09:00:00+00:00,g/m2,199.617,biomass,
peach,peach_plot_61200_2026,biomass,OUTDOOR,synthetic_model,plot_61200,VALID,SYNTHETIC_TEST,synthetic_test_data,2026-03-12T09:00:00+00:00,g/m2,133.728,biomass,
apple,apple_plot_72300_2026,biomass,OUTDOOR,synthetic_model,plot_72300,VALID,SYNTHETIC_TEST,synthetic_test_data,2026-03-12T09:00:00+00:00,g/m2,132.524,biomass,
tomato,tomato_12010_2026,biomass,GREENHOUSE,synthetic_model,plot_12010,VALID,SYNTHETIC_TEST,synthetic_test_data,2026-03-19T09:00:00+00:00,g/m2,157.784,biomass,RAF
pepper,pepper_40811_2026,biomass,OUTDOOR,synthetic_model,plot_40811,VALID,SYNTHETIC_TEST,synthetic_test_data,2026-03-19T09:00:00+00:00,g/m2,88.469,biomass,Lamuyo
grape,grape_30412_2026,biomass,OUTDOOR,synthetic_model,plot_30412,VALID,SYNTHETIC_TEST,synthetic_test_data,2026-03-19T09:00:00+00:00,g/m2,77.992,biomass,Monastrell
plum,plum_14705_2026,biomass,OUTDOOR,synthetic_model,plot_14705,VALID,SYNTHETIC_TEST,synthetic_test_data,2026-03-19T09:00:00+00:00,g/m2,79.375,biomass,Suplum 26
lettuce,lettuce_002,biomass,GREENHOUSE,synthetic_model,plot_20500,VALID,SYNTHETIC_TEST,synthetic_test_data,2026-03-19T09:00:00+00:00,g/m2,297.694,biomass,
peach,peach_plot_61200_2026,biomass,OUTDOOR,synthetic_model,plot_61200,VALID,SYNTHETIC_TEST,synthetic_test_data,2026-03-19T09:00:00+00:00,g/m2,149.319,biomass,
apple,apple_plot_72300_2026,biomass,OUTDOOR,synthetic_model,plot_72300,VALID,SYNTHETIC_TEST,synthetic_test_data,2026-03-19T09:00:00+00:00,g/m2,150.276,biomass,
tomato,tomato_12010_2026,biomass,GREENHOUSE,synthetic_model,plot_12010,VALID,SYNTHETIC_TEST,synthetic_test_data,2026-03-26T09:00:00+00:00,g/m2,184.531,biomass,RAF
pepper,pepper_40811_2026,biomass,OUTDOOR,synthetic_model,plot_40811,VALID,SYNTHETIC_TEST,synthetic_test_data,2026-03-26T09:00:00+00:00,g/m2,112.622,biomass,Lamuyo
grape,grape_30412_2026,biomass,OUTDOOR,synthetic_model,plot_30412,VALID,SYNTHETIC_TEST,synthetic_test_data,2026-03-26T09:00:00+00:00,g/m2,97.178,biomass,Monastrell
plum,plum_14705_2026,biomass,OUTDOOR,synthetic_model,plot_14705,VALID,SYNTHETIC_TEST,synthetic_test_data,2026-03-26T09:00:00+00:00,g/m2,94.441,biomass,Suplum 26
lettuce,lettuce_002,biomass,GREENHOUSE,synthetic_model,plot_20500,VALID,SYNTHETIC_TEST,synthetic_test_data,2026-03-26T09:00:00+00:00,g/m2,386.616,biomass,
peach,peach_plot_61200_2026,biomass,OUTDOOR,synthetic_model,plot_61200,VALID,SYNTHETIC_TEST,synthetic_test_data,2026-03-26T09:00:00+00:00,g/m2,167.028,biomass,
apple,apple_plot_72300_2026,biomass,OUTDOOR,synthetic_model,plot_72300,VALID,SYNTHETIC_TEST,synthetic_test_data,2026-03-26T09:00:00+00:00,g/m2,166.783,biomass,
tomato,tomato_12010_2026,biomass,GREENHOUSE,synthetic_model,plot_12010,VALID,SYNTHETIC_TEST,synthetic_test_data,2026-04-02T09:00:00+00:00,g/m2,212.93,biomass,RAF
pepper,pepper_40811_2026,biomass,OUTDOOR,synthetic_model,plot_40811,VALID,SYNTHETIC_TEST,synthetic_test_data,2026-04-02T09:00:00+00:00,g/m2,132.515,biomass,Lamuyo
grape,grape_30412_2026,biomass,OUTDOOR,synthetic_model,plot_30412,VALID,SYNTHETIC_TEST,synthetic_test_data,2026-04-02T09:00:00+00:00,g/m2,113.0,biomass,Monastrell
plum,plum_14705_2026,biomass,OUTDOOR,synthetic_model,plot_14705,VALID,SYNTHETIC_TEST,synthetic_test_data,2026-04-02T09:00:00+00:00,g/m2,114.646,biomass,Suplum 26
lettuce,lettuce_002,biomass,GREENHOUSE,synthetic_model,plot_20500,VALID,SYNTHETIC_TEST,synthetic_test_data,2026-04-02T09:00:00+00:00,g/m2,467.299,biomass,
peach,peach_plot_61200_2026,biomass,OUTDOOR,synthetic_model,plot_61200,VALID,SYNTHETIC_TEST,synthetic_test_data,2026-04-02T09:00:00+00:00,g/m2,182.707,biomass,
apple,apple_plot_72300_2026,biomass,OUTDOOR,synthetic_model,plot_72300,VALID,SYNTHETIC_TEST,synthetic_test_data,2026-04-02T09:00:00+00:00,g/m2,185.681,biomass,
tomato,tomato_12010_2026,biomass,GREENHOUSE,synthetic_model,plot_12010,VALID,SYNTHETIC_TEST,synthetic_test_data,2026-04-09T09:00:00+00:00,g/m2,236.436,biomass,RAF
pepper,pepper_40811_2026,biomass,OUTDOOR,synthetic_model,plot_40811,VALID,SYNTHETIC_TEST,synthetic_test_data,2026-04-09T09:00:00+00:00,g/m2,154.335,biomass,Lamuyo
grape,grape_30412_2026,biomass,OUTDOOR,synthetic_model,plot_30412,VALID,SYNTHETIC_TEST,synthetic_test_data,2026-04-09T09:00:00+00:00,g/m2,132.465,biomass,Monastrell
plum,plum_14705_2026,biomass,OUTDOOR,synthetic_model,plot_14705,VALID,SYNTHETIC_TEST,synthetic_test_data,2026-04-09T09:00:00+00:00,g/m2,134.119,biomass,Suplum 26
