crop,crop_cycle_id,dataset,environment,measurement_method,plot_id,quality,source,source_type,timestamp,unit,value,variable,variety
lettuce,lettuce_001,lai,GREENHOUSE,synthetic_model,plot_20500,VALID,SYNTHETIC_TEST,synthetic_test_data,2026-01-15T09:00:00+00:00,m2/m2,1.421,lai,
lettuce,lettuce_001,lai,GREENHOUSE,synthetic_model,plot_20500,VALID,SYNTHETIC_TEST,synthetic_test_data,2026-01-22T09:00:00+00:00,m2/m2,2.686,lai,
lettuce,lettuce_001,lai,GREENHOUSE,synthetic_model,plot_20500,VALID,SYNTHETIC_TEST,synthetic_test_data,2026-01-29T09:00:00+00:00,m2/m2,3.28,lai,
lettuce,lettuce_001,lai,GREENHOUSE,synthetic_model,plot_20500,VALID,SYNTHETIC_TEST,synthetic_test_data,2026-02-05T09:00:00+00:00,m2/m2,3.038,lai,
peach,peach_plot_61200_2026,lai,OUTDOOR,synthetic_model,plot_61200,VALID,SYNTHETIC_TEST,synthetic_test_data,2026-02-05T09:00:00+00:00,m2/m2,0.456,lai,
apple,apple_plot_72300_2026,lai,OUTDOOR,synthetic_model,plot_72300,VALID,SYNTHETIC_TEST,synthetic_test_data,2026-02-05T09:00:00+00:00,m2/m2,0.456,lai,
lettuce,lettuce_001,lai,GREENHOUSE,synthetic_model,plot_20500,VALID,SYNTHETIC_TEST,synthetic_test_data,2026-02-12T09:00:00+00:00,m2/m2,2.026,lai,
peach,peach_plot_61200_2026,lai,OUTDOOR,synthetic_model,plot_61200,VALID,SYNTHETIC_TEST,synthetic_test_data,2026-02-12T09:00:00+00:00,m2/m2,0.729,lai,
apple,apple_plot_72300_2026,lai,OUTDOOR,synthetic_model,plot_72300,VALID,SYNTHETIC_TEST,synthetic_test_data,2026-02-12T09:00:00+00:00,m2/m2,0.729,lai,
tomato,tomato_12010_2026,lai,GREENHOUSE,synthetic_model,plot_12010,VALID,SYNTHETIC_TEST,synthetic_test_data,2026-02-19T09:00:00+00:00,m2/m2,0.543,lai,RAF
lettuce,lettuce_001,lai,GREENHOUSE,synthetic_model,plot_20500,VALID,SYNTHETIC_TEST,synthetic_test_data,2026-02-19T09:00:00+00:00,m2/m2,0.53,lai,
peach,peach_plot_61200_2026,lai,OUTDOOR,synthetic_model,plot_61200,VALID,SYNTHETIC_TEST,synthetic_test_data,2026-02-19T09:00:00+00:00,m2/m2,0.997,lai,
apple,apple_plot_72300_2026,lai,OUTDOOR,synthetic_model,plot_72300,VALID,SYNTHETIC_TEST,synthetic_test_data,2026-02-19T09:00:00+00:00,m2/m2,0.997,lai,
tomato,tomato_12010_2026,lai,GREENHOUSE,synthetic_model,plot_12010,VALID,SYNTHETIC_TEST,synthetic_test_data,2026-02-26T09:00:00+00:00,m2/m2,0.963,lai,RAF
peach,peach_plot_61200_2026,lai,OUTDOOR,synthetic_model,plot_61200,VALID,SYNTHETIC_TEST,synthetic_test_data,2026-02-26T09:00:00+00:00,m2/m2,1.26,lai,
apple,apple_plot_72300_2026,lai,OUTDOOR,synthetic_model,plot_72300,VALID,SYNTHETIC_TEST,synthetic_test_data,2026-02-26T09:00:00+00:00,m2/m2,1.26,lai,
tomato,tomato_12010_2026,lai,GREENHOUSE,synthetic_model,plot_12010,VALID,SYNTHETIC_TEST,synthetic_test_data,2026-03-05T09:00:00+00:00,m2/m2,1.37,lai,RAF
pepper,pepper_40811_2026,lai,OUTDOOR,synthetic_model,plot_40811,VALID,SYNTHETIC_TEST,synthetic_test_data,2026-03-05T09:00:00+00:00,m2/m2,0.495,lai,Lamuyo
grape,grape_30412_2026,lai,OUTDOOR,synthetic_model,plot_30412,VALID,SYNTHETIC_TEST,synthetic_test_data,2026-03-05T09:00:00+00:00,m2/m2,0.457,lai,Monastrell
plum,plum_14705_2026,lai,OUTDOOR,synthetic_model,plot_14705,VALID,SYNTHETIC_TEST,synthetic_test_data,2026-03-05T09:00:00+00:00,m2/m2,0.457,lai,Suplum 26
lettuce,lettuce_002,lai,GREENHOUSE,synthetic_model,plot_20500,VALID,SYNTHETIC_TEST,synthetic_test_data,2026-03-05T09:00:00+00:00,m2/m2,1.227,lai,
peach,peach_plot_61200_2026,lai,OUTDOOR,synthetic_model,plot_61200,VALID,SYNTHETIC_TEST,synthetic_test_data,2026-03-05T09:00:00+00:00,m2/m2,1.515,lai,
apple,apple_plot_72300_2026,lai,OUTDOOR,synthetic_model,plot_72300,VALID,SYNTHETIC_TEST,synthetic_test_data,2026-03-05T09:00:00+00:00,m2/m2,1.515,lai,
