crop,crop_cycle_id,dataset,environment,measurement_method,observation_type,plot_id,quality,resolution,source,source_type,timestamp,unit,value,variable,variety
peach,peach_plot_61200_2026,phenology,OUTDOOR,synthetic_model,event,plot_61200,VALID,event,SYNTHETIC_TEST,synthetic_test_data,2026-02-05T09:00:00+00:00,date,2026-02-05,maturity,
apple,apple_plot_72300_2026,phenology,OUTDOOR,synthetic_model,event,plot_72300,VALID,event,SYNTHETIC_TEST,synthetic_test_data,2026-02-05T09:00:00+00:00,date,2026-02-05,maturity,
peach,peach_plot_61200_2026,phenology,OUTDOOR,synthetic_model,event,plot_61200,VALID,event,SYNTHETIC_TEST,synthetic_test_data,2026-02-12T09:00:00+00:00,date,2026-02-12,maturity,
apple,apple_plot_72300_2026,phenology,OUTDOOR,synthetic_model,event,plot_72300,VALID,event,SYNTHETIC_TEST,synthetic_test_data,2026-02-12T09:00:00+00:00,date,2026-02-12,maturity,
tomato,tomato_12010_2026,phenology,GREENHOUSE,synthetic_model,event,plot_12010,VALID,event,SYNTHETIC_TEST,synthetic_test_data,2026-02-19T09:00:00+00:00,date,2026-02-19,maturity,RAF
peach,peach_plot_61200_2026,phenology,OUTDOOR,synthetic_model,event,plot_61200,VALID,event,SYNTHETIC_TEST,synthetic_test_data,2026-02-19T09:00:00+00:00,date,2026-02-19,maturity,
apple,apple_plot_72300_2026,phenology,OUTDOOR,synthetic_model,event,plot_72300,VALID,event,SYNTHETIC_TEST,synthetic_test_data,2026-02-19T09:00:00+00:00,date,2026-02-19,maturity,
tomato,tomato_12010_2026,phenology,GREENHOUSE,synthetic_model,event,plot_12010,VALID,event,SYNTHETIC_TEST,synthetic_test_data,2026-02-26T09:00:00+00:00,date,2026-02-26,maturity,RAF
peach,peach_plot_61200_2026,phenology,OUTDOOR,synthetic_model,event,plot_61200,VALID,event,SYNTHETIC_TEST,synthetic_test_data,2026-02-26T09:00:00+00:00,date,2026-02-26,maturity,
apple,apple_plot_72300_2026,phenology,OUTDOOR,synthetic_model,event,plot_72300,VALID,event,SYNTHETIC_TEST,synthetic_test_data,2026-02-26T09:00:00+00:00,date,2026-02-26,maturity,
tomato,tomato_12010_2026,phenology,GREENHOUSE,synthetic_model,event,plot_12010,VALID,event,SYNTHETIC_TEST,synthetic_test_data,2026-03-05T09:00:00+00:00,date,2026-03-05,maturity,RAF
pepper,pepper_40811_2026,phenology,OUTDOOR,synthetic_model,event,plot_40811,VALID,event,SYNTHETIC_TEST,synthetic_test_data,2026-03-05T09:00:00+00:00,date,2026-03-05,maturity,Lamuyo
grape,grape_30412_2026,phenology,OUTDOOR,synthetic_model,event,plot_30412,VALID,event,SYNTHETIC_TEST,synthetic_test_data,2026-03-05T09:00:00+00:00,date,2026-03-05,maturity,Monastrell
plum,plum_14705_2026,phenology,OUTDOOR,synthetic_model,event,plot_14705,VALID,event,SYNTHETIC_TEST,synthetic_test_data,2026-03-05T09:00:00+00:00,date,2026-03-05,maturity,Suplum 26
peach,peach_plot_61200_2026,phenology,OUTDOOR,synthetic_model,event,plot_61200,VALID,event,SYNTHETIC_TEST,synthetic_test_data,2026-03-05T09:00:00+00:00,date,2026-03-05,maturity,
apple,apple_plot_72300_2026,phenology,OUTDOOR,synthetic_model,event,plot_72300,VALID,event,SYNTHETIC_TEST,synthetic_test_data,2026-03-05T09:00:00+00:00,date,2026-03-05,maturity,
tomato,tomato_12010_2026,phenology,GREENHOUSE,synthetic_model,event,plot_12010,VALID,event,SYNTHETIC_TEST,synthetic_test_data,2026-03-12T09:00:00+00:00,date,2026-03-12,maturity,RAF
pepper,pepper_40811_2026,phenology,OUTDOOR,synthetic_model,event,plot_40811,VALID,event,SYNTHETIC_TEST,synthetic_test_data,2026-03-12T09:00:00+00:00,date,2026-03-12,maturity,Lamuyo
grape,grape_30412_2026,phenology,OUTDOOR,synthetic_model,event,plot_30412,VALID,event,SYNTHETIC_TEST,synthetic_test_data,2026-03-12T09:00:00+00:00,date,2026-03-12,maturity,Monastrell
plum,plum_14705_2026,phenology,OUTDOOR,synthetic_model,event,plot_14705,VALID,event,SYNTHETIC_TEST,synthetic_test_data,2026-03-12T09:00:00+00:00,date,2026-03-12,maturity,Suplum 26
peach,peach_plot_61200_2026,phenology,OUTDOOR,synthetic_model,event,plot_61200,VALID,event,SYNTHETIC_TEST,synthetic_test_data,2026-03-12T09:00:00+00:00,date,2026-03-12,maturity,
apple,apple_plot_72300_2026,phenology,OUTDOOR,synthetic_model,event,plot_72300,VALID,event,SYNTHETIC_TEST,synthetic_test_data,2026-03-12T09:00:00+00:00,date,2026-03-12,maturity,
tomato,tomato_12010_2026,phenology,GREENHOUSE,synthetic_model,event,plot_12010,VALID,event,SYNTHETIC_TEST,synthetic_test_data,2026-03-19T09:00:00+00:00,date,2026-03-19,maturity,RAF
pepper,pepper_40811_2026,phenology,OUTDOOR,synthetic_model,event,plot_40811,VALID,event,SYNTHETIC_TEST,synthetic_test_data,2026-03-19T09:00:00+00:00,date,2026-03-19,maturity,Lamuyo
grape,grape_30412_2026,phenology,OUTDOOR,synthetic_model,event,plot_30412,VALID,event,SYNTHETIC_TEST,synthetic_test_data,2026-03-19T09:00:00+00:00,date,2026-03-19,maturity,Monastrell
plum,plum_14705_2026,phenology,OUTDOOR,synthetic_model,event,plot_14705,VALID,event,SYNTHETIC_TEST,synthetic_test_data,2026-03-19T09:00:00+00:00,date,2026-03-19,maturity,Suplum 26
peach,peach_plot_61200_2026,phenology,OUTDOOR,synthetic_model,event,plot_61200,VALID,event,SYNTHETIC_TEST,synthetic_test_data,2026-03-19T09:00:00+00:00,date,2026-03-19,maturity,
apple,apple_plot_72300_2026,phenology,OUTDOOR,synthetic_model,event,plot_72300,VALID,event,SYNTHETIC_TEST,synthetic_test_data,2026-03-19T09:00:00+00:00,date,2026-03-19,maturity,
tomato,tomato_12010_2026,phenology,GREENHOUSE,synthetic_model,event,plot_12010,VALID,event,SYNTHETIC_TEST,synthetic_test_data,2026-03-26T09:00:00+00:00,date,2026-03-26,maturity,RAF
pepper,pepper_40811_2026,phenology,OUTDOOR,synthetic_model,event,plot_40811,VALID,event,SYNTHETIC_TEST,synthetic_test_data,2026-03-26T09:00:00+00:00,date,2026-03-26,maturity,Lamuyo
grape,grape_30412_2026,phenology,OUTDOOR,synthetic_model,event,plot_30412,VALID,event,SYNTHETIC_TEST,synthetic_test_data,2026-03-26T09:00:00+00:00,date,2026-03-26,maturity,Monastrell
plum,plum_14705_2026,phenology,OUTDOOR,synthetic_model,event,plot_14705,VALID,event,SYNTHETIC_TEST,synthetic_test_data,2026-03-26T09:00:00+00:00,date,2026-03-26,maturity,Suplum 26
peach,peach_plot_61200_2026,phenology,OUTDOOR,synthetic_model,event,plot_61200,VALID,event,SYNTHETIC_TEST,synthetic_test_data,2026-03-26T09:00:00+00:00,date,2026-03-26,maturity,
apple,apple_plot_72300_2026,phenology,OUTDOOR,synthetic_model,event,plot_72300,VALID,event,SYNTHETIC_TEST,synthetic_test_data,2026-03-26T09:00:00+00:00,date,2026-03-26,maturity,
tomato,tomato_12010_2026,phenology,GREENHOUSE,synthetic_model,event,plot_12010,VALID,event,SYNTHETIC_TEST,synthetic_test_data,2026-04-02T09:00:00+00:00,date,2026-04-02,maturity,RAF
pepper,pepper_40811_2026,phenology,OUTDOOR,synthetic_model,event,plot_40811,VALID,event,SYNTHETIC_TEST,synthetic_test_data,2026-04-02T09:00:00+00:00,date,2026-04-02,maturity,Lamuyo
grape,grape_30412_2026,phenology,OUTDOOR,synthetic_model,event,plot_30412,VALID,event,SYNTHETIC_TEST,synthetic_test_data,2026-04-02T09:00:00+00:00,date,2026-04-02,maturity,Monastrell
plum,plum_14705_2026,phenology,OUTDOOR,synthetic_model,event,plot_14705,VALID,event,SYNTHETIC_TEST,synthetic_test_data,2026-04-02T09:00:00+00:00,date,2026-04-02,maturity,Suplum 26
peach,peach_plot_61200_2026,phenology,OUTDOOR,synthetic_model,event,plot_61200,VALID,event,SYNTHETIC_TEST,synthetic_test_data,2026-04-02T09:00:00+00:00,date,2026-04-02,maturity,
apple,apple_plot_72300_2026,phenology,OUTDOOR,synthetic_model,event,plot_72300,VALID,event,SYNTHETIC_TEST,synthetic_test_data,2026-04-02T09:00:00+00:00,date,2026-04-02,maturity,
tomato,tomato_12010_2026,phenology,GREENHOUSE,synthetic_model,event,plot_12010,VALID,event,SYNTHETIC_TEST,synthetic_test_data,2026-04-09T09:00:00+00:00,date,2026-04-09,maturity,RAF
pepper,pepper_40811_2026,phenology,OUTDOOR,synthetic_model,event,plot_40811,VALID,event,SYNTHETIC_TEST,synthetic_test_data,2026-04-09T09:00:00+00:00,date,2026-04-09,maturity,Lamuyo
grape,grape_30412_2026,phenology,OUTDOOR,synthetic_model,event,plot_30412,VALID,event,SYNTHETIC_TEST,synthetic_test_data,2026-04-09T09:00:00+00:00,date,2026-04-09,maturity,Monastrell
plum,plum_14705_2026,phenology,OUTDOOR,synthetic_model,event,plot_14705,VALID,event,SYNTHETIC_TEST,synthetic_test_data,2026-04-09T09:00:00+00:00,date,2026-04-09,maturity,Suplum 26
peach,peach_plot_61200_2026,phenology,OUTDOOR,synthetic_model,event,plot_61200,VALID,event,SYNTHETIC_TEST,synthetic_test_data,2026-04-09T09:00:00+00:00,date,2026-04-09,maturity,
apple,apple_plot_72300_2026,phenology,OUTDOOR,synthetic_model,event,plot_72300,VALID,event,SYNTHETIC_TEST,synthetic_test_data,2026-04-09T09:00:00+00:00,date,2026-04-09,maturity,
tomato,tomato_12010_2026,phenology,GREENHOUSE,synthetic_model,event,plot_12010,VALID,event,SYNTHETIC_TEST,synthetic_test_data,2026-04-16T09:00:00+00:00,date,2026-04-16,maturity,RAF
