crop,crop_cycle_id,dataset,environment,measurement_method,plot_id,quality,source,source_type,timestamp,unit,value,variable,variety
lettuce,lettuce_001,soil_water,GREENHOUSE,synthetic_model,plot_20500,VALID,SYNTHETIC_TEST,synthetic_test_data,2026-01-15T09:00:00+00:00,m3/m3,0.265,soil_water_content,
lettuce,lettuce_001,soil_water,GREENHOUSE,synthetic_model,plot_20500,VALID,SYNTHETIC_TEST,synthetic_test_data,2026-01-22T09:00:00+00:00,m3/m3,0.282,soil_water_content,
lettuce,lettuce_001,soil_water,GREENHOUSE,synthetic_model,plot_20500,VALID,SYNTHETIC_TEST,synthetic_test_data,2026-01-29T09:00:00+00:00,m3/m3,0.29,soil_water_content,
lettuce,lettuce_001,soil_water,GREENHOUSE,synthetic_model,plot_20500,VALID,SYNTHETIC_TEST,synthetic_test_data,2026-02-05T09:00:00+00:00,m3/m3,0.287,soil_water_content,
peach,peach_plot_61200_2026,soil_water,OUTDOOR,synthetic_model,plot_61200,VALID,SYNTHETIC_TEST,synthetic_test_data,2026-02-05T09:00:00+00:00,m3/m3,0.252,soil_water_content,
apple,apple_plot_72300_2026,soil_water,OUTDOOR,synthetic_model,plot_72300,VALID,SYNTHETIC_TEST,synthetic_test_data,2026-02-05T09:00:00+00:00,m3/m3,0.252,soil_water_content,
lettuce,lettuce_001,soil_water,GREENHOUSE,synthetic_model,plot_20500,VALID,SYNTHETIC_TEST,synthetic_test_data,2026-02-12T09:00:00+00:00,m3/m3,0.273,soil_water_content,
peach,peach_plot_61200_2026,soil_water,OUTDOOR,synthetic_model,plot_61200,VALID,SYNTHETIC_TEST,synthetic_test_data,2026-02-12T09:00:00+00:00,m3/m3,0.256,soil_water_content,
apple,apple_plot_72300_2026,soil_water,OUTDOOR,synthetic_model,plot_72300,VALID,SYNTHETIC_TEST,synthetic_test_data,2026-02-12T09:00:00+00:00,m3/m3,0.256,soil_water_content,
tomato,tomato_12010_2026,soil_water,GREENHOUSE,synthetic_model,plot_12010,VALID,SYNTHETIC_TEST,synthetic_test_data,2026-02-19T09:00:00+00:00,m3/m3,0.253,soil_water_content,RAF
lettuce,lettuce_001,soil_water,GREENHOUSE,synthetic_model,plot_20500,VALID,SYNTHETIC_TEST,synthetic_test_data,2026-02-19T09:00:00+00:00,m3/m3,0.253,soil_water_content,
peach,peach_plot_61200_2026,soil_water,OUTDOOR,synthetic_model,plot_61200,VALID,SYNTHETIC_TEST,synthetic_test_data,2026-02-19T09:00:00+00:00,m3/m3,0.259,soil_water_content,
apple,apple_plot_72300_2026,soil_water,OUTDOOR,synthetic_model,plot_72300,VALID,SYNTHETIC_TEST,synthetic_test_data,2026-02-19T09:00:00+00:00,m3/m3,0.259,soil_water_content,
