timestamp,temperature_c,relative_humidity_pct,solar_radiation_w_m2,wind_speed_m_s,wind_direction_deg,rain_rate_mm_h,pressure_hpa
2026-08-27T00:00:00+00:00,19.2,56,0.0,2.26,283,0.0,922.7
2026-08-27T01:00:00+00:00,18.0,68,0.0,1.26,288,0.0,922.6
2026-08-27T02:00:00+00:00,17.5,73,0.0,0.3,270,0.0,922.3
2026-08-27T03:00:00+00:00,16.9,74,0.0,0.72,124,0.0,922.2
2026-08-27T04:00:00+00:00,16.9,73,0.0,1.34,153,0.0,922.1
2026-08-27T05:00:00+00:00,16.9,66,0.0,2.16,167,0.0,921.9
2026-08-27T06:00:00+00:00,16.6,73,5.0,4.01,176,0.0,922.2
2026-08-27T07:00:00+00:00,16.9,77,73.0,5.0,182,0.0,922.5
2026-08-27T08:00:00+00:00,18.3,69,240.0,5.91,199,0.0,923.1
2026-08-27T09:00:00+00:00,19.6,63,368.0,6.17,205,0.0,923.8
2026-08-27T10:00:00+00:00,20.7,56,519.0,6.89,206,0.0,924.1
2026-08-27T11:00:00+00:00,22.0,47,615.0,7.2,207,0.0,923.7
2026-08-27T12:00:00+00:00,22.1,42,641.0,7.02,213,0.0,924.0
2026-08-27T13:00:00+00:00,22.6,41,655.0,7.13,214,0.0,923.9
2026-08-27T14:00:00+00:00,22.7,37,574.0,7.0,227,0.0,924.5
2026-08-27T15:00:00+00:00,22.0,36,392.0,5.66,226,0.0,924.5
2026-08-27T16:00:00+00:00,22.1,33,344.0,5.14,217,0.0,924.5
2026-08-27T17:00:00+00:00,21.7,35,255.0,4.94,216,0.0,924.1
2026-08-27T18:00:00+00:00,20.8,38,128.0,4.34,218,0.0,924.6
2026-08-27T19:00:00+00:00,20.4,39,22.0,3.8,215,0.0,924.6
2026-08-27T20:00:00+00:00,20.0,43,0.0,3.26,252,0.0,925.7
2026-08-27T21:00:00+00:00,18.7,55,0.0,3.45,280,0.0,926.2
2026-08-27T22:00:00+00:00,17.7,61,0.0,2.55,281,0.0,926.9
2026-08-27T23:00:00+00:00,17.3,66,0.0,2.02,279,0.0,927.2
2026-08-28T00:00:00+00:00,16.5,67,0.0,3.77,292,0.0,927.5
2026-08-28T01:00:00+00:00,15.4,66,0.0,3.13,287,0.0,927.3
2026-08-28T02:00:00+00:00,14.7,68,0.0,2.62,277,0.0,927.5
2026-08-28T03:00:00+00:00,14.0,72,0.0,2.22,278,0.0,927.4
2026-08-28T04:00:00+00:00,13.5,74,0.0,1.9,267,0.0,927.5
2026-08-28T05:00:00+00:00,13.0,76,0.0,1.94,258,0.0,927.6
2026-08-28T06:00:00+00:00,12.6,77,6.0,1.53,259,0.0,927.4
2026-08-28T07:00:00+00:00,13.4,74,126.0,2.1,270,0.0,928.5
2026-08-28T08:00:00+00:00,14.6,67,324.0,2.83,278,0.0,929.1
2026-08-28T09:00:00+00:00,16.3,59,518.0,2.22,278,0.0,930.3
2026-08-28T10:00:00+00:00,18.1,49,693.0,1.6,266,0.0,930.3
2026-08-28T11:00:00+00:00,20.1,41,827.0,1.51,278,0.0,930.6
2026-08-28T12:00:00+00:00,21.8,32,901.0,1.8,289,0.0,930.2
2026-08-28T13:00:00+00:00,23.3,26,915.0,2.44,305,0.0,930.2
2026-08-28T14:00:00+00:00,24.1,25,865.0,3.47,314,0.0,929.7
2026-08-28T15:00:00+00:00,24.5,26,758.0,3.4,317,0.0,929.2
2026-08-28T16:00:00+00:00,24.5,26,602.0,3.3,325,0.0,928.9
2026-08-28T17:00:00+00:00,24.2,29,413.0,3.18,332,0.0,928.6
2026-08-28T18:00:00+00:00,23.5,30,208.0,2.95,336,0.0,928.5
2026-08-28T19:00:00+00:00,22.4,34,37.0,2.01,333,0.0,928.6
2026-08-28T20:00:00+00:00,21.2,38,0.0,1.25,331,0.0,929.1
2026-08-28T21:00:00+00:00,20.3,42,0.0,0.86,324,0.0,929.3
2026-08-28T22:00:00+00:00,19.7,44,0.0,0.64,321,0.0,929.3
2026-08-28T23:00:00+00:00,19.2,48,0.0,0.32,18,0.0,929.2
